tempID	AnalyteName	CAS No.	Volatility	ABS Category	AbsID
768	"Trichloropropane, 1,2,3-"	96-18-4	V	Undefined	1
769	"Trichloropropene, 1,2,3-"	96-19-5	V	Undefined	1
770	Tricresyl Phosphate (TCP)	1330-78-5	NV	Other Organic Chemicals	8
771	Tridiphane	58138-08-2	NV	Other Organic Chemicals	8
772	Triethylamine	121-44-8	V	Undefined	1
773	Triethylene Glycol	112-27-6	NV	Other Organic Chemicals	8
774	"Trifluoroethane, 1,1,1-"	420-46-2	V	Undefined	1
775	Trifluralin	1582-09-8	V	Undefined	1
776	Trimethyl Phosphate	512-56-1	NV	Other Organic Chemicals	8
777	"Trimethylbenzene, 1,2,3-"	526-73-8	V	Undefined	1
778	"Trimethylbenzene, 1,2,4-"	95-63-6	V	Undefined	1
779	"Trimethylbenzene, 1,3,5-"	108-67-8	V	Undefined	1
780	"Trimethylpentene, 2,4,4-"	25167-70-8	V	Undefined	1
781	"Trinitrobenzene, 1,3,5-"	99-35-4	NV	Other Organic Chemicals	8
782	"Trinitrotoluene, 2,4,6-"	118-96-7	NV	Other Organic Chemicals	8
783	Triphenylphosphine Oxide	791-28-6	NV	Other Organic Chemicals	8
784	"Tris(1,3-Dichloro-2-propyl) Phosphate"	13674-87-8	NV	Other Organic Chemicals	8
785	Tris(1-chloro-2-propyl)phosphate	13674-84-5	NV	Other Organic Chemicals	8
786	"Tris(2,3-dibromopropyl)phosphate"	126-72-7	V	Undefined	1
787	Tris(2-chloroethyl)phosphate	115-96-8	NV	Other Organic Chemicals	8
788	Tris(2-ethylhexyl)phosphate	78-42-2	NV	Other Organic Chemicals	8
789	Tungsten	7440-33-7	NV	Undefined	1
790	Uranium (Soluble Salts)	E715565	NV	Undefined	1
791	Urethane	51-79-6	NV	Other Organic Chemicals	8
792	Vanadium Pentoxide	1314-62-1	NV	Other metals and complexed cyanides	12
793	Vanadium and Compounds	7440-62-2	NV	Other metals and complexed cyanides	12
794	Vernolate	1929-77-7	V	Undefined	1
795	Vinclozolin	50471-44-8	NV	Other Organic Chemicals	8
796	Vinyl Acetate	108-05-4	V	Undefined	1
797	Vinyl Bromide	593-60-2	V	Undefined	1
