tempID	AnalyteName	CAS No.	Volatility	ABS Category	AbsID
227	"Dichloropropanol, 2,3-"	616-23-9	NV	Other Organic Chemicals	8
228	"Dichloropropene, 1,3-"	542-75-6	V	Undefined	1
229	Dichlorvos	62-73-7	NV	Organophosphates	4
230	Dicrotophos	141-66-2	NV	Other Organic Chemicals	8
231	Dicyclopentadiene	77-73-6	V	Undefined	1
232	Dieldrin	60-57-1	NV	Chlorinated Insecticides	2
233	Diesel Engine Exhaust	E17136615	NV	Other Organic Chemicals	8
234	Diethanolamine	111-42-2	NV	Other Organic Chemicals	8
235	Diethylene Glycol Monobutyl Ether	112-34-5	NV	Other Organic Chemicals	8
236	Diethylene Glycol Monoethyl Ether	111-90-0	NV	Other Organic Chemicals	8
237	Diethylformamide	617-84-5	V	Undefined	1
238	Diethylstilbestrol	56-53-1	NV	Other Organic Chemicals	8
239	Difenzoquat	43222-48-6	NV	Other Organic Chemicals	8
240	Diflubenzuron	35367-38-5	NV	Other Organic Chemicals	8
241	"Difluoroethane, 1,1-"	75-37-6	V	Undefined	1
242	Dihydrosafrole	94-58-6	V	Undefined	1
243	Diisopropyl Ether	108-20-3	V	Undefined	1
244	Diisopropyl Methylphosphonate	1445-75-6	V	Undefined	1
245	Dimethipin	55290-64-7	NV	Other Organic Chemicals	8
246	Dimethoate	60-51-5	NV	Organophosphates	4
247	"Dimethoxybenzidine, 3,3'-"	119-90-4	NV	Other Organic Chemicals	8
248	Dimethyl methylphosphonate	756-79-6	NV	Other Organic Chemicals	8
249	Dimethylamino azobenzene [p-]	60-11-7	NV	Other Organic Chemicals	8
